time,oil_pressure,oil_flow,temperature,motor_current,bearing_vibration
76,3.563048803,3.512145901,67.69181133,11.1384407,9.161043466
77,3.284750656,3.497049313,67.84659862,11.37851435,9.330863315
78,3.353488378,3.675046446,67.80598574,11.22205757,9.142188053
79,3.536344556,3.628387362,67.98335368,11.47535266,9.32532939
80,3.686292759,3.724714207,68.00152818,11.1748359,9.853473433
81,3.583505875,3.523849151,68.08473224,11.46824231,9.297751332
82,3.431754907,3.418754035,68.44514039,11.50559127,9.257713092
83,3.330794758,3.434707641,68.70468369,11.60381795,9.036930523
84,3.574268622,3.611909409,68.82996692,11.99928689,9.393041077
85,3.491941678,3.60557108,68.86384678,10.74705024,9.164538489
86,3.559070422,3.652037951,68.8859123,11.49311624,9.313479606
87,3.511529872,3.767108688,68.69799795,11.19726934,9.400121314
88,3.502964293,3.607647319,68.53242863,10.77353914,9.007044973
89,3.795862545,3.883959796,68.22401199,11.65557325,9.353893749
90,3.499387004,3.595699269,68.18927962,11.80663461,9.379830997
91,3.484075479,3.735335649,68.16895796,11.24113306,9.057475792
92,3.487855132,3.405673332,68.45353791,11.45330868,9.266891952
93,3.441646328,3.50511462,68.59700334,11.32981204,8.993567061
94,3.599013289,3.757711313,68.45088047,11.57928754,9.660188234
95,3.464624567,3.561615139,68.63621275,11.67862081,9.42973393
96,3.563594271,3.731309524,68.50786103,11.50071146,9.314868403
97,3.528460303,3.655582792,68.66955165,11.50387118,9.334267999
98,3.621898586,3.76772685,68.6720942,11.81694568,9.593498141
99,3.54201796,3.686517549,68.79119516,11.35464429,9.360286405
100,3.378661522,3.594561807,68.83408472,11.69435515,9.449571826
101,3.367351221,3.669656272,68.64838522,11.20368454,9.668564434
102,3.640836915,3.783149551,68.58819241,11.87556336,9.289585811
103,3.43912892,3.662858023,68.53025638,11.5915224,9.134498574
104,3.367939742,3.522805721,68.7103313,11.25979209,9.206133015
105,3.43303814,3.501637863,68.96931614,10.81803521,9.682664381
106,3.626462529,3.609921508,68.8456985,11.41033511,9.402855511
107,3.3579787,3.58988168,69.07861424,11.04156645,9.307395166
108,3.41335048,3.304164231,69.61182701,11.53827712,9.655911577
109,3.433319249,3.429273731,69.89727498,11.88874849,9.689318976
110,3.374881013,3.428603239,70.22357436,11.46210212,9.427227882
111,3.381567266,3.504178222,70.39817919,11.3484108,9.345430551
112,3.348189202,3.245769718,70.87033187,11.49360074,9.272927467
113,3.453881259,3.698200885,70.66407136,11.46683946,9.207629352
114,3.464509117,3.638722994,70.50531047,10.71577083,9.497533757
115,3.431746185,3.757505951,70.29600829,11.47492531,9.350961639
116,3.334630216,3.606999577,70.3082095,11.67146058,9.902515832
117,3.625333595,3.77823809,70.16003188,11.35135412,9.527710739
118,3.367092117,3.745322873,69.97541858,11.65993452,9.10911195
119,3.527803371,3.559586214,69.94604738,11.42845022,9.778350593
120,3.392523341,3.385168164,70.08209629,11.66118238,9.540551691
121,3.566831687,3.616863272,70.04249087,12.12871828,9.645244983
122,3.595583236,3.574850736,70.0717434,11.41761986,9.643581295
123,3.412238641,3.521658649,70.1645673,10.85372556,9.575768043
124,3.307628427,3.379555157,70.30213502,11.34425479,9.634882028
125,3.569578732,3.698535246,70.26135677,10.91831617,9.573887811
126,3.687580055,3.763846318,70.13390436,11.57718834,9.292113255
127,3.541569454,3.622249413,70.01490312,11.8290308,9.574836751
128,3.516054442,3.640790816,70.03951362,11.66507377,9.708732463
129,3.581976061,3.634980564,70.0854801,11.51607297,9.466536727
130,3.576505485,3.721106658,69.92108807,11.24687775,9.602369251
131,3.417101117,3.557224745,69.88803606,11.90860314,9.572721436
132,3.434084869,3.533906359,70.14437434,11.70761804,9.877567847
133,3.561112355,3.72962586,69.99981616,11.5027556,9.449431556
134,3.485598665,3.717441326,69.81561913,11.47493226,9.423161081
135,3.63166056,3.812741718,69.6136867,11.44918556,9.437982322
136,3.429565785,3.458712002,69.98615652,11.55738554,9.478137437
137,3.575060992,3.591591874,69.94850647,11.17205091,9.040327104
138,3.534263798,3.450408669,70.22281718,11.86663894,9.39375975
139,3.487356244,3.568557244,70.44886298,11.48643142,9.604863311
140,3.617591077,3.712167028,70.16335823,11.60721901,9.51468452
141,3.568007153,3.627524175,70.06317775,11.27189731,9.346449944
142,3.399503285,3.732787058,69.82041932,11.51483847,9.349086082
143,3.564021868,3.597828783,69.81628629,10.72705017,9.410506004
144,3.637499063,3.573648582,69.83994801,11.0630624,9.323680445
145,3.486955531,3.649023739,69.81141905,11.39735582,9.378531783
146,3.475134415,3.600074032,69.73847841,11.00815354,9.365969817
147,3.433035285,3.614785431,69.66893623,12.17871939,9.645967792
148,3.498639611,3.62956256,69.67516192,10.95019477,9.670794446
149,3.568620069,3.665548617,69.61769443,11.55104319,9.648486462
150,3.41823317,3.338710014,70.0777272,11.93569891,9.59311308
151,3.365364244,3.446607144,70.32267907,11.55297663,9.39060341
152,3.462425009,3.518422514,70.49464262,11.36814629,9.741430352
153,3.362027502,3.482420067,70.51551344,11.25766196,9.488701227
154,3.552321844,3.586553943,70.47024581,11.6347219,9.551635023
155,3.457331023,3.61568049,70.61090669,11.23422901,9.828734775
156,3.324459816,3.55476414,70.68160297,11.401898,9.584958868
157,3.465139249,3.465919456,70.90474413,11.65334926,9.639931219
158,3.480738501,3.657123542,70.81050527,11.30241049,9.29849463
159,3.544913561,3.685524951,70.69764613,11.47632797,9.667166472
160,3.485463646,3.637855194,70.58924724,11.31321262,9.362923395
161,3.686872646,3.570334139,70.95785671,11.17878676,9.798173603
162,3.448129615,3.612935999,70.85400101,11.78901719,9.548480265
163,3.493760145,3.604515629,70.80240127,11.78787083,9.133006358
164,3.489708939,3.689913371,70.39897499,11.32523404,9.468293478
165,3.471737162,3.761477976,70.27138303,11.34255686,9.481531395
166,3.514242559,3.767352324,69.97620364,11.38583751,9.594715409
167,3.55412313,3.643738295,69.91203085,11.60543682,9.625305563
168,3.63400987,3.680218453,69.7548421,11.13989962,9.409931361
169,3.343074387,3.569039461,69.79487372,11.42575156,9.682061011
170,3.448965713,3.457875432,69.96899472,11.40841098,8.863488406
171,3.455222857,3.4280654,70.19912906,11.59917991,9.377115106
172,3.59378503,3.609017959,70.1719203,10.55995669,9.294719176
173,3.464333694,3.700657108,70.01175109,11.50857172,9.250338407
174,3.310482441,3.453176635,70.19329748,11.56044468,9.711271022
175,3.508773046,3.755521918,70.10403061,11.75375404,9.676237141
176,3.496631077,3.319167358,70.56755338,11.252361,9.401601334
177,3.517975157,3.452064451,70.82903165,11.31727122,9.818514566
178,3.395983712,3.525221354,70.8166599,11.80104888,9.601959368
179,3.671903468,3.791961535,70.64245538,10.9530393,9.479908718
180,3.467614022,3.573606103,70.76004373,11.90434006,9.437419814
181,3.481170314,3.579136914,70.69589955,12.17885868,9.41393561
182,3.409999143,3.533825336,70.90399468,11.59597867,9.684954439
183,3.4068998,3.367850106,71.10608607,11.70532548,9.740639587
184,3.377726304,3.64244267,70.81043973,10.99743712,9.628744215
185,3.460668915,3.508124877,71.00553345,11.17020854,9.19050981
186,3.404241816,3.651498355,70.87477434,11.76437114,9.646749165
187,3.705646734,3.716335699,70.77219883,11.56208948,9.690299196
188,3.311150762,3.593506496,70.66791503,11.36051432,9.432950382
189,3.387166945,3.566625965,70.55437651,11.5044739,9.56408776
190,3.459858557,3.565247685,70.69760672,11.53164052,9.196983812
191,3.567349128,3.663035641,70.43746039,11.30673412,9.297752227
192,3.458624312,3.427876826,70.49320398,11.41398722,9.484473329
193,3.567596339,3.641160736,70.22082943,11.40812769,9.460132714
194,3.401319611,3.712395799,69.77834534,11.11654187,9.548170408
195,3.505929113,3.734376824,69.50319971,14.84668357,31.66403453
196,3.674404109,3.606140107,69.30216991,15.40849251,32.44944491
197,3.40322556,3.592503921,69.34279816,15.36654759,32.31305967
198,3.541956768,3.649972049,69.08350949,14.54503971,33.25306332
199,3.520692752,3.694134479,68.89125235,15.28445214,34.08841847
